"10.0.2.33", "2012-08-07", "2014-08-07",
"10.0.3.12", "2016-04-06", "2019-04-07",
"10.0.3.13", "2016-04-06", "2019-04-07",
"10.0.3.14", "2016-04-06", "2019-04-07",
"10.0.2.119", "2015-08-20", "2018-08-21",
"10.0.2.121", "2015-08-20", "2018-08-21",
"10.0.2.118", "2015-08-19", "2018-08-20",
"10.0.2.120", "2015-08-20", "2018-08-21",
"10.0.2.112", "2015-08-20", "2018-08-21",
"10.0.2.113", "2015-08-20", "2018-08-21",
"10.0.2.117", "2015-08-20", "2018-08-21",
"10.0.2.210", "2015-05-28", "2018-05-29",
"10.0.2.211", "2015-05-28", "2018-05-29",
"10.0.2.212", "2015-05-28", "2018-05-29",
"10.0.1.10", "2015-08-20", "2018-08-21",
"10.0.1.11", "2015-08-20", "2018-08-21",
"10.0.2.115", "2015-08-20", "2018-08-21",
"10.0.2.116", "2015-08-20", "2018-08-21",
"10.0.2.132", "2016-04-05", "2019-04-06",
"10.0.2.114", "2015-08-20", "2018-08-21",
"10.0.2.140", "2016-04-05", "2019-04-06",
"10.0.2.150", "2016-04-05", "2019-04-06",
"10.0.2.160", "2016-04-05", "2019-04-06",
"10.0.2.170", "2016-04-05", "2019-04-06",
"10.0.2.220", "2015-09-28", "2018-09-29",
"10.0.2.221", "2015-09-28", "2018-09-29",
"10.0.4.21", "2015-09-28", "2018-09-29",
"10.0.4.22", "2015-09-28", "2018-09-29",
"10.0.4.23", "2015-09-28", "2018-09-29",
"10.0.4.24", "2015-09-28", "2018-09-29",
"10.0.4.25", "2015-09-28", "2018-09-29",
"10.0.4.26", "2015-09-28", "2018-09-29",
"10.68.189.3", "2016-02-27", "2019-02-28",
"10.68.189.4", "2016-02-27", "2019-02-28",
"10.68.189.5", "2016-02-27", "2019-02-28",
"10.68.189.6", "2016-02-27", "2019-02-28",
"10.68.189.7", "2016-02-27", "2019-02-28",